title,imdbid,year,class,Country,Fem Wordcount,Production,Rated,Genre,Writers F,Writers M,Director,imdbRating
A bout de souffle,tt0053472,1960,F,France,1,Rialto Pictures,NOT RATED,Crime,0,0,M,7.9
"Magnificent Seven, The",tt0054047,1960,F,USA,0,MGM Home Entertainment,APPROVED,Action,0,1,M,7.8
Make Mine Mink,tt0054049,1960,P,UK,1,J. Arthur Rank Productions,NOT RATED,Comedy,0,3,M,7.1
"Brides of Dracula, The",tt0053677,1960,P,UK,0,Universal-International,UNRATED,Horror,0,3,M,6.8
Le Trou,tt0054407,1960,F,France,0,Filmsonor Productions,NOT RATED,Crime,0,1,M,8.5
"Hustler, The",tt0054997,1961,F,USA,0,Fox,NOT RATED,Drama,1,3,M,8.0
"Phantom Planet, The",tt0055294,1961,F,USA,0,American International Pictures (AIP),UNRATED,Action,0,2,M,3.3
A Woman Is a Woman,tt0055572,1961,F,France,4,Rialto Pictures,NOT RATED,Comedy,0,0,M,7.6
"Curse of the Werewolf, The",tt0054777,1961,P,UK,0,Universal Pictures,APPROVED,Horror,0,1,M,6.8
"Beast of Yucca Flats, The",tt0054673,1961,F,USA,0,Crown International Pictures,UNRATED,Horror,0,1,M,2.4
A Taste of Honey,tt0055506,1961,P,UK,4,Westchester Films,NOT RATED,Drama,0,1,M,7.6
Mothra,tt0055198,1961,F,Japan,0,Sony Pictures Entertainment,PASSED,Fantasy,0,0,M,6.6
Mysterious Island,tt0055207,1961,F,UK,0,Columbia Pictures,APPROVED,Adventure,0,2,M,6.8
"Trial of Joan of Arc, The",tt0059616,1962,F,France,0,Criterion Collection,N/A,Drama,0,1,M,7.6
Lawrence of Arabia,tt0056172,1962,F,UK,0,Columbia Pictures,PG,Adventure,0,2,M,8.3
"Move Over, Darling",tt0057329,1963,P,USA,2,20th Century Fox,APPROVED,Comedy,2,4,M,7.0
Lord of the Flies,tt0057261,1963,F,UK,0,Criterion Collection,NOT RATED,Adventure,0,1,M,7.0
"Sword in the Stone, The",tt0057546,1963,F,USA,0,Buena Vista Pictures,G,Animation,0,0,M,7.2
Shock Corridor,tt0057495,1963,F,USA,0,Criterion Collection,NOT RATED,Drama,0,1,M,7.5
"Guest, The",tt0058164,1963,F,UK,0,N/A,N/A,Drama,0,1,M,7.3
"Servant, The",tt0057490,1963,P,UK,0,Rialto Pictures,UNRATED,Drama,0,1,M,7.9
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012,1964,F,USA,0,Sony Pictures,PG,Comedy,0,4,M,8.4
Woman in the Dunes,tt0058625,1964,F,Japan,1,Criterion Collection,NOT RATED,Drama,0,0,M,8.5
Onibaba,tt0058430,1964,F,Japan,2,Toho Company Ltd.,NOT RATED,Drama,0,0,M,8.0
King &amp; Country,tt0058263,1964,F,UK,0,Allied Artists Pictures,NOT RATED,Drama,0,2,M,7.6
Viva Las Vegas,tt0058725,1964,F,USA,0,MGM,APPROVED,Comedy,0,0,M,6.4
Gulliver&#39;s Travels Beyond the Moon,tt0059212,1965,F,Japan,0,N/A,N/A,Animation,0,1,M,6.7
Kapurush,tt0059348,1965,F,India,0,R.D.Banshal &amp; Co.,N/A,Drama,0,0,M,7.8
Inside Daisy Clover,tt0059314,1965,P,USA,0,Warner Bros.,APPROVED,Drama,0,2,M,6.3
How to Murder Your Wife,tt0058212,1965,F,USA,1,MGM Home Entertainment,APPROVED,Comedy,0,1,M,6.6
How to Steal a Million,tt0060522,1966,F,USA,3,20th Century Fox Film Corp.,APPROVED,Comedy,0,2,M,7.6
End of August at the Hotel Ozone,tt0061879,1966,P,Czechoslovakia,1,N/A,N/A,Drama,0,0,M,6.9
Georgy Girl,tt0060453,1966,P,UK,3,Columbia Pictures,APPROVED,Comedy,2,1,M,6.9
Blow-Up,tt0060176,1966,F,UK,0,MGM,NOT RATED,Drama,0,2,M,7.6
Return of Daimajin,tt0062852,1966,F,Japan,0,N/A,NOT RATED,Fantasy,0,0,M,6.3
La caza,tt0060223,1966,F,Spain,0,Trans Lux Inc.,N/A,Drama,0,1,M,7.7
